Id,Species
39,Iris-setosa
129,Iris-setosa
38,Iris-setosa
7,Iris-setosa
130,Iris-setosa
18,Iris-setosa
103,Iris-setosa
12,Iris-setosa
1,Iris-setosa
85,Iris-versicolor
49,Iris-setosa
114,Iris-setosa
69,Iris-versicolor
50,Iris-setosa
84,Iris-setosa
48,Iris-setosa
23,Iris-setosa
100,Iris-setosa
5,Iris-setosa
16,Iris-setosa
40,Iris-setosa
96,Iris-versicolor
95,Iris-versicolor
134,Iris-virginica
147,Iris-versicolor
80,Iris-versicolor
68,Iris-versicolor
11,Iris-setosa
32,Iris-versicolor
143,Iris-virginica
52,Iris-versicolor
99,Iris-versicolor
101,Iris-virginica
65,Iris-versicolor
66,Iris-versicolor
30,Iris-versicolor
89,Iris-versicolor
128,Iris-virginica
142,Iris-versicolor
91,Iris-versicolor
139,Iris-virginica
64,Iris-versicolor
27,Iris-versicolor
17,Iris-setosa
88,Iris-versicolor
