Id,Species
39,Iris-setosa
129,Iris-setosa
38,Iris-setosa
7,Iris-setosa
130,Iris-virginica
18,Iris-setosa
103,Iris-virginica
12,Iris-setosa
1,Iris-setosa
85,Iris-versicolor
49,Iris-setosa
114,Iris-virginica
69,Iris-versicolor
50,Iris-setosa
84,Iris-versicolor
48,Iris-setosa
23,Iris-setosa
100,Iris-setosa
5,Iris-setosa
16,Iris-setosa
40,Iris-setosa
96,Iris-versicolor
95,Iris-versicolor
134,Iris-virginica
147,Iris-virginica
80,Iris-versicolor
68,Iris-versicolor
11,Iris-setosa
32,Iris-setosa
143,Iris-virginica
52,Iris-versicolor
99,Iris-versicolor
101,Iris-virginica
65,Iris-versicolor
66,Iris-versicolor
30,Iris-setosa
89,Iris-versicolor
128,Iris-virginica
142,Iris-virginica
91,Iris-setosa
139,Iris-virginica
64,Iris-versicolor
27,Iris-setosa
17,Iris-setosa
88,Iris-versicolor
